state,state_code,bill_id,bill_url,title,author,author_partisanship,topics,status,date_of_last_action,introduced_year_month,summary,history,text_len,word_count,definition_found,definition,PHCI,UR,BPPRIV,NAICS54_tech_employment,bill_year,state_partisanship
Alabama,AL,AL H    317,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H317&ciq=urn:user:PA196471263&client_md=a6af312dc67fe179e62587632bd1c7d0&mode=current_text,Consumer Protection,Sells (R),Republican,"Private Sector Use, Provenance",Failed - Adjourned - House Children and Senior Advocacy Committee,45708,2025-02,"Relates to consumer protection, app store providers and developers required to take certain actions related to age verification and parental consent, attorney general authorized to bring action for violations as deceptive trade practice, parents authorized to bring civil action.","02/20/2025 - INTRODUCED.
02/20/2025 - To HOUSE Committee on CHILDREN AND SENIOR ADVOCACY.",8772,1450,FALSE,NA,142,3.3,1386,129.5,2025,Republican
Alabama,AL,AL H    332,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H332&ciq=urn:user:PA196471263&client_md=3351384f0b105be726a7ea51bed1917c&mode=current_text,Public Education,Faulkner (R),Republican,Education Use,Failed - Adjourned - SENATE,45748,2025-02,"Relates to education, public kindergarten through grade 12 schools, completion of approved computer science course required.","02/25/2025 - INTRODUCED.
02/25/2025 - To HOUSE Committee on EDUCATION POLICY.
03/19/2025 - From HOUSE Committee on EDUCATION POLICY:  Reported favorably.
04/01/2025 - EDUCATION POLICY Committee substitute offered on HOUSE floor.
04/01/2025 - Committee Substitute adopted on HOUSE floor.
04/01/2025 - Passed HOUSE.  *****To SENATE.
04/03/2025 - To SENATE Committee on EDUCATION POLICY.
04/30/2025 - From SENATE Committee on EDUCATION POLICY:  Reported favorably.",5441,804,TRUE,"including, but not limited to, artificial intelligence",142,3.3,1386,129.5,2025,Republican
Alabama,AL,AL H    365,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H365&ciq=urn:user:PA196471263&client_md=59fea8921e791d0284f9b1984eefc7e1&mode=current_text,STEM Council,Collins (R),Republican,"Education Use, Effect on Labor/Employment, Studies",Enacted - Act No.  2025-449,05/21/2025 - Enacted,2025-02,"Creates the State Science, Technology, Engineering, and Mathematics Council in the Department of Workforce, provides for membership, including the executive committee of the council, provides that the duties of the Director of the STEM Council shall include, among other things, conducting comprehensive, external evaluations of STEM based curricula and educational initiatives that receive funding from the Education Trust Fund, provides for meetings.","02/27/2025 - INTRODUCED.
02/27/2025 - To HOUSE Committee on EDUCATION POLICY.
03/05/2025 - From HOUSE Committee on EDUCATION POLICY:  Reported favorably.
04/01/2025 - EDUCATION POLICY Committee substitute offered on HOUSE floor.
04/01/2025 - Committee Substitute adopted on HOUSE floor.
04/01/2025 - Passed HOUSE.  *****To SENATE.
04/01/2025 - To SENATE Committee on EDUCATION POLICY.
04/09/2025 - From SENATE Committee on EDUCATION POLICY:  Reported favorably.
05/07/2025 - EDUCATION Committee amendment offered on SENATE floor.
05/07/2025 - Senator amendment adopted on SENATE floor.
05/07/2025 - Passed SENATE.  *****To HOUSE for concurrence.
05/07/2025 - HOUSE concurred in SENATE amendments.
05/07/2025 - Eligible for GOVERNOR'S desk.
05/14/2025 - *****To GOVERNOR.
05/21/2025 - Signed by GOVERNOR.
05/21/2025 - Act No. 2025-449",11422,1690,TRUE,"careers that utilize concepts from the STEM fields including, but not limited to, engineering, life science, accounting, astronomy, physics, chemistry, earth science, math and computing, information science, artificial intelligence, health and medicine, including physicians, nurses, technicians, and social sciences, including political science and economics.",142,3.3,1386,129.5,2025,Republican
Alabama,AL,AL H    515,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H515&ciq=urn:user:PA196471263&client_md=5a00756b2938ab269937959626b8b4e8&mode=current_text,Artificial Intelligence,Shirey (R),Republican,"Health Use, Private Sector Use",Failed - Adjourned - House Insurance Committee,45750,2025-04,"Relates to artificial intelligence, regulate use in health coverage decisions.","04/03/2025 - INTRODUCED.
04/03/2025 - To HOUSE Committee on INSURANCE.",5312,791,TRUE,"A machine-based system that may include software or physical hardware that performs tasks, based upon data set inputs, which require human-like perception, cognition, planning, learning, communication, or physical action and which is capable of improving performance based upon learned experience without significant human oversight toward influencing real or virtual environments.",142.56,3.3,1590,130,2025,Republican
Alabama,AL,AL H    516,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H516&ciq=urn:user:PA196471263&client_md=fd3811daf64406f099a06c20a9fbb4c7&mode=current_text,Consumer Protection,Chestnut (D),Democrat,"Notification, Private Sector Use",Failed - Adjourned - House Commerce and Small Business Committee,45750,2025-04,"Relates to consumer protection, use of a computer to interact with a consumer when consumer believes the interaction is with a human is an unlawful trade practice.","04/03/2025 - INTRODUCED.
04/03/2025 - To HOUSE Committee on COMMERCE AND SMALL BUSINESS.",13423,2128,FALSE,NA,142.56,3.3,1590,130,2025,Republican
Alabama,AL,AL H    557,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H557&ciq=urn:user:PA196471263&client_md=8d6eb53004336330bc5100363f6adc21&mode=current_text,Health Insurance,Datcher (D),Democrat,"Health Use, Private Sector Use",Failed - Adjourned - House Insurance Committee,45756,2025-04,"Relates to health benefit plans, processes further specified for making coverage determinations with enforcement and oversight given to the Department of Insurance.","04/09/2025 - INTRODUCED.
04/09/2025 - To HOUSE Committee on INSURANCE.",19712,3018,TRUE,"A machine-based system that may include software or physical hardware that performs tasks, based upon data set inputs, which require human-like perception, cognition, planning, learning, communication, or physical action and which is capable of improving performance based upon learned experience without significant human oversight toward influencing real or virtual environments.",142.56,3.3,1590,130,2025,Republican
Alabama,AL,AL HR   244,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000HR244&ciq=urn:user:PA196471263&client_md=88178509d5528a04661ed47108cecde3&mode=current_text,Commending Ignite,Lomax (R),Republican,Private Sector Use,Failed - Adjourned - HOUSE,45762,2025-04,Appoints committee to its leadership on their acquisition of reliant technologies.,04/15/2025 - INTRODUCED.,2097,283,FALSE,NA,142.56,3.3,1590,130,2025,Republican
Alabama,AL,AL S    294,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S294&ciq=urn:user:PA196471263&client_md=d6deec6eea7794238c8fa05b2d136e74&mode=current_text,Health Insurance,Orr (R),Republican,"Health Use, Private Sector Use",Failed - Adjourned - Senate Banking and Insurance Committee,45750,2025-04,"Relates to health insurance, regulates and modernizes the prior authorization process.","04/03/2025 - INTRODUCED.
04/03/2025 - To SENATE Committee on BANKING AND INSURANCE.",16999,2604,TRUE,"A machine-based system that may include software or physical hardware that performs tasks, based upon data set inputs, which requires human-like perception, cognition, planning, learning, communication, or physical action and which is capable of improving performance based upon learned experience without significant human oversight toward influencing real or virtual environments.",142.56,3.3,1590,130,2025,Republican
Arkansas,AR,AR H    1041,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1041&ciq=urn:user:PA196471263&client_md=f4e269f494663479898044c9c059b6e9&mode=current_text,Deceptive and Fraudulent Deepfakes in Elections,Collins A (D),Democrat,"Elections, Provenance",Failed - Died,45735,2024-11,"Prohibits deceptive and fraudulent deepfakes in election communications, provides for a cause of action and civil penalties for the use of deceptive and fraudulent deepfakes and for other purposes, provides that a person may, within ninety days of an election in which a candidate for an elected office will appear on the ballot, distribute synthetic media that the person knows or should know is a deceptive and fraudulent deepfake of a candidate or party on the state or local ballot if the synthetic media.","11/20/2024 - PREFILED.
01/13/2025 - INTRODUCED.
01/13/2025 - To HOUSE Committee on STATE AGENCIES AND GOVERNMENTAL AFFAIRS.
01/16/2025 - Withdrawn from HOUSE Committee on STATE AGENCIES AND GOVERNMENTAL AFFAIRS.
01/16/2025 - Amended on HOUSE floor.
02/27/2025 - Withdrawn from HOUSE Committee on STATE AGENCIES AND GOVERNMENTAL AFFAIRS.
02/27/2025 - Amended on HOUSE floor.
03/19/2025 - Amended on HOUSE floor.
05/05/2025 - Died in House Committee at Sine Die adjournment.",6583,1048,TRUE,"Synthetic media means an image, audio recording, or a video recording of an individual's appearance, speech, or conduct that has been created or intentionally manipulated with the use of generative adversarial network techniques or other digital technology, including without limitation artificial intelligence, in a manner to create a realistic but false image, audio, or video.",145.83,3.6,984,51.8,2024,Republican
Arkansas,AR,AR H    1071,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1071&ciq=urn:user:PA196471263&client_md=ebf8e03b478a670a8af716c40b889b0f&mode=current_text,Frank Broyles Publicity Rights Protection Act,Richardson S (R),Republican,"Effect on Labor/Employment, Private Sector Use",Enacted - Act No.  159,02/25/2025 - Enacted,2024-12,"Provides protections for an individual whose photograph, voice, or likeness is reproduced through means of artificial intelligence and used commercially, provides that it is not a violation of the Frank Broyles Publicity Rights Protection Act of 2016 if the name, voice, signature, photograph, or likeness of an individual is used by a service provider of a system or network if the service provider does not have actual knowledge that a photograph, voice, or likeness on the system or network is in violation.","12/19/2024 - PREFILED.
01/13/2025 - INTRODUCED.
01/13/2025 - To HOUSE Committee on JUDICIARY.
01/23/2025 - From HOUSE Committee on JUDICIARY:  Do pass.
01/27/2025 - Passed HOUSE.  *****To SENATE.
01/27/2025 - To SENATE Committee on JUDICIARY.
02/11/2025 - Withdrawn from SENATE Committee on JUDICIARY.
02/11/2025 - Amended on SENATE floor.
02/11/2025 - Rereferred to SENATE Committee on JUDICIARY.
02/12/2025 - From SENATE Committee on JUDICIARY:  Do pass.
02/13/2025 - Passed SENATE.  *****To HOUSE for concurrence.
02/13/2025 - To JOINT Committee on BUDGET.
02/18/2025 - From JOINT Committee on BUDGET:  Do pass.
02/20/2025 - *****To GOVERNOR.
02/25/2025 - Signed by GOVERNOR.
02/25/2025 - Act No. 159",2519,395,TRUE,including without limitation generation through means of artificial intelligence,146.13,3.6,1154,51.3,2024,Republican
Arkansas,AR,AR H    1083,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1083&ciq=urn:user:PA196471263&client_md=0fcdca45ac2baba013994885929e1f29&mode=current_text,Arkansas Kids Online Safety Act,Collins A (D),Democrat,"Notification, Private Sector Use",Failed - Adjourned - Withdrawn,45715,2025-01,"Provides that a covered platform shall take reasonable measures in the design and operation of any product, service, or feature that the platform knows is used by minors to avoid any heightened risk of harm to minors, including anxiety, depression, and suicidal behaviors, provides that parental tools provided by a covered platform shall include the ability to manage a minors privacy and account settings, creates the Kids Online Safety Council, provides for filter bubble transparency requirements.","01/13/2025 - INTRODUCED.
01/13/2025 - To HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS.
01/23/2025 - Withdrawn from HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS.
01/23/2025 - Amended on HOUSE floor.
01/30/2025 - Withdrawn from HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS.
01/30/2025 - Amended on HOUSE floor.
02/10/2025 - Withdrawn from HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS.
02/10/2025 - Amended on HOUSE floor.
02/12/2025 - Withdrawn from HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS.
02/12/2025 - Amended on HOUSE floor.
02/26/2025 - Withdrawn from HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS.
02/26/2025 - Amended on HOUSE floor.
02/27/2025 - Withdrawn from HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS.
02/27/2025 - Amended on HOUSE floor.
03/11/2025 - WITHDRAWN by Author.",33983,5336,FALSE,NA,146.44,3.6,1152,53.1,2025,Republican
Arkansas,AR,AR H    1141,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1141&ciq=urn:user:PA196471263&client_md=7382d278ac65c55e2df0f40c7611dce1&mode=current_text,Criminal Offenses,Richardson S (R),Republican,Elections,Failed - Died,45700,2025-01,"Creates criminal offenses related to deceptive and injurious media in the course of election campaigns, provides that it shall be unlawful for a person to purposely injure a candidate for office in the State by creating or causing to be created a deep fake and publishing, distributing, or causing to be published or distributed the deep fake a specified number of days before the date of the general election and on the date of the general election with the knowledge that the communication was a deep fake.","01/15/2025 - INTRODUCED.
01/15/2025 - To HOUSE Committee on JUDICIARY.
02/12/2025 - Withdrawn from HOUSE Committee on JUDICIARY.
02/12/2025 - Amended on HOUSE floor.
05/05/2025 - Died in House Committee at Sine Die adjournment.",1872,305,TRUE,a medium of communication that is deliberately manipulated using artificial intelligence technology to appear to depict a real person performing an action that did not occur for the purpose of attempting to deceive the viewer into believing the action did occur and for which no reasonable observer could believe there was an intent other than to injure the candidate.,146.44,3.6,1152,53.1,2025,Republican
Arkansas,AR,AR H    1283,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1283&ciq=urn:user:PA196471263&client_md=654acf195f8889b0cbd9fbfc88b6ba15&mode=current_text,Division of Elementary,Mayberry J (R),Republican,Education/Training,Failed - Died,45715,2025-01,Requires the division of elementary and secondary education to include digital media standards in kindergarten through grade twelve library media standards.,"01/28/2025 - INTRODUCED.
01/28/2025 - To HOUSE Committee on EDUCATION.
02/27/2025 - Withdrawn from HOUSE Committee on EDUCATION.
02/27/2025 - Amended on HOUSE floor.
04/03/2025 - Rereferred to HOUSE Committee on EDUCATION.
04/03/2025 - From HOUSE Committee on EDUCATION:  Do pass.
04/07/2025 - Passed HOUSE.  *****To SENATE.
04/07/2025 - To SENATE Committee on EDUCATION.
05/05/2025 - Died in Senate Committee at Sine Die adjournment.",5691,832,TRUE,"Artificial intelligence means a machine-based system that can make decisions, recommendations, or predictions based on a set of objectives. Artificial intelligence includes a machine-based system that uses human and machine inputs in order to perceive environments, analyze environments, and formulate opinions;",146.44,3.6,1152,53.1,2025,Republican
Arkansas,AR,AR H    1297,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1297&ciq=urn:user:PA196471263&client_md=f4651049fd5bd147e71bc33dc3a13ba4&mode=current_text,Artificial Intelligence Algorithms,Johnson (R),Republican,"Health Use, Private Sector Use",Failed - Adjourned - Withdrawn,45715,2025-01,"Concerns artificial intelligence, algorithms, and other automated technologies, regulates certain practices of healthcare insurers.","01/29/2025 - INTRODUCED.
01/29/2025 - To HOUSE Committee on INSURANCE AND COMMERCE.
02/27/2025 - Withdrawn from HOUSE Committee on INSURANCE AND COMMERCE.
02/27/2025 - Amended on HOUSE floor.
04/01/2025 - WITHDRAWN by Author.",18568,2668,TRUE,"As used in this subchapter: (1) Artificial intelligence means a machine-based system that for a given set of human-defined objectives, can make predictions, recommendations, or decisions influencing real or virtual environments;",146.44,3.6,1152,53.1,2025,Republican
Arkansas,AR,AR H    1518,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1518&ciq=urn:user:PA196471263&client_md=310710fe747e9a8572375f855dd0c99d&mode=current_text,Offense of Creating Distributing Possessing or Viewing,Meeks S (R),Republican,"Child Pornography, Criminal Use",Failed - Adjourned - Withdrawn,45706,2025-02,"Creates the offense of creating, distributing, possessing, or viewing artificial intelligence-generated matter depicting sexually explicit conduct involving a child.","02/18/2025 - INTRODUCED.
02/18/2025 - To HOUSE Committee on JUDICIARY.
03/18/2025 - WITHDRAWN by Author.",1969,267,TRUE,Uses artificial intelligence or other computer technology capable of processing and interpreting specific data inputs to generate visual depictions to create a depiction of a child engaging in sexually explicit conduct that is indistinguishable from a child actually engaging in sexually explicit conduct.,146.76,3.6,1029,53.9,2025,Republican
Arkansas,AR,AR H    1529,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1529&ciq=urn:user:PA196471263&client_md=c1c40647a0876c24dcc344c0afebc081&mode=current_text,Deepfake Visual Material of a Sexual Nature,Meeks S (R),Republican,NA,Enacted - Act No.  827,04/17/2025 - Enacted,2025-02,"Concerns deepfake visual material of a sexual nature, creates the criminal offense of unlawful creation and distribution of deepfake visual material, establishes a cause of action for unlawful creation of deepfake visual material, provides that engaging in sexual contact, sexual intercourse, deviate sexual activity, or sexually explicit conduct such that an ordinary person viewing the deepfake visual material would conclude that the depiction is of the identifiable person engaging in sexual contact.","02/19/2025 - INTRODUCED.
02/19/2025 - To HOUSE Committee on JUDICIARY.
03/19/2025 - Withdrawn from HOUSE Committee on JUDICIARY.
03/19/2025 - Amended on HOUSE floor.
04/03/2025 - Rereferred to HOUSE Committee on JUDICIARY.
04/03/2025 - From HOUSE Committee on JUDICIARY:  Do pass as amended.
04/07/2025 - Committee amendment adopted on HOUSE floor.
04/08/2025 - Passed HOUSE.  *****To SENATE.
04/08/2025 - To SENATE Committee on JUDICIARY.
04/09/2025 - From SENATE Committee on JUDICIARY:  Do pass.
04/14/2025 - Passed SENATE.
04/14/2025 - *****To GOVERNOR.
04/17/2025 - Signed by GOVERNOR.
04/17/2025 - Act No. 827",3225,509,FALSE,NA,146.76,3.6,1029,53.9,2025,Republican
